siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
All countries,Other,26 - 49,1,50.0,0.5,1,0.25,0.0,1.48,0.0,148.0
All countries,All,50 - 69,7079,33.66303675876171,0.3366303675876171,7079,3.1545467326662364e-05,0.32562195865252996,0.34763877652270425,32.562195865252995,34.76387765227042
All countries,Female,50 - 69,3079,29.17930250189538,0.29179302501895377,3079,6.711589982762e-05,0.27573586335265093,0.3078501866852566,27.573586335265095,30.78501866852566
All countries,Male,50 - 69,3992,38.56259659969088,0.3856259659969088,3992,5.9348341770004944e-05,0.3705265425064688,0.40072538948734876,37.05265425064688,40.07253894873487
All countries,Other,50 - 69,0,0.0,0.0,0,,,,,
All countries,All,70 - 79,2539,12.073802843692045,0.12073802843692044,2539,4.181187748171951e-05,0.10806425597037467,0.13341180090346622,10.806425597037467,13.341180090346622
All countries,Female,70 - 79,931,8.822971948445792,0.08822971948445792,931,8.640734273270868e-05,0.07001043168712694,0.1064490072817889,7.001043168712694,10.64490072817889
All countries,Male,70 - 79,1593,15.388330757341576,0.15388330757341576,1593,8.173461093765305e-05,0.1361634971517976,0.17160311799503392,13.61634971517976,17.16031179950339
All countries,Other,70 - 79,0,0.0,0.0,0,,,,,
All countries,All,80+,2700,12.83941224023967,0.1283941224023967,2700,4.1447804346264844e-05,0.11577564843853677,0.14101259636625663,11.577564843853677,14.101259636625663
All countries,Female,80+,1404,13.305534495830173,0.13305534495830174,1404,8.215927360137398e-05,0.11528956139925098,0.1508211285173525,11.528956139925098,15.08211285173525
All countries,Male,80+,1253,12.103941267387944,0.12103941267387944,1253,8.490732103227594e-05,0.10297895962093552,0.13909986572682337,10.297895962093552,13.909986572682337
All countries,Other,80+,0,0.0,0.0,0,,,,,
France,All,0 - 2,64,0.535520040164003,0.00535520040164003,64,8.322690984841101e-05,0.0,0.02323604201700187,0.0,2.323604201700187
France,Female,0 - 2,24,0.3893575600259572,0.003893575600259572,24,0.00016160065288769313,0.0,0.028809535708859878,0.0,2.8809535708859877
France,Male,0 - 2,39,0.6743904547812554,0.006743904547812553,39,0.00017175446921186016,0.0,0.03243070989461039,0.0,3.2430709894610388
France,Other,0 - 2,0,,,0,,,,,
Germany,All,0 - 2,7,1.0432190760059614,0.010432190760059613,7,0.0014747657365721915,0.0,0.08570144114569672,0.0,8.570144114569672
Germany,Female,0 - 2,4,1.21580547112462,0.0121580547112462,4,0.003002559104221136,0.0,0.11955745440591822,0.0,11.955745440591823
Germany,Male,0 - 2,3,0.8771929824561403,0.008771929824561403,3,0.0028983276905714572,0.0,0.11429072272942413,0.0,11.429072272942413
Germany,Other,0 - 2,0,,,0,,,,,
Italy,All,0 - 2,22,0.6666666666666667,0.006666666666666667,22,0.000301010101010101,0.0,0.04067196631305126,0.0,4.067196631305126
Italy,Female,0 - 2,0,0.0,0.0,0,,,,,
Italy,Male,0 - 2,0,0.0,0.0,0,,,,,
Italy,Other,0 - 2,0,,,0,,,,,
